idproduto,mes,ano,quantidade,origem
31101,1,2026,39,"API"
31108,1,2026,98,"API"
31109,1,2026,47,"API"
31110,1,2026,68,"API"
31111,1,2026,58,"API"
31112,1,2026,39,"API"
31351,1,2026,131,"API"
31353,1,2026,96,"API"
31359,1,2026,39,"API"
31361,1,2026,131,"API"
31368,1,2026,18,"API"
31370,1,2026,12,"API"
31375,1,2026,43,"API"
31376,1,2026,22,"API"
31378,1,2026,12,"API"
31379,1,2026,51,"API"
31380,1,2026,92,"API"
31381,1,2026,57,"API"
31382,1,2026,43,"API"
31383,1,2026,24,"API"
31387,1,2026,24,"API"
31389,1,2026,83,"API"
31396,1,2026,60,"API"
31398,1,2026,24,"API"
31943,1,2026,17,"API"
31944,1,2026,21,"API"
31945,1,2026,17,"API"
31946,1,2026,11,"API"
32056,1,2026,14,"API"
32057,1,2026,54,"API"
32058,1,2026,60,"API"
32059,1,2026,43,"API"
32076,1,2026,17,"API"
32077,1,2026,56,"API"
32078,1,2026,66,"API"
32079,1,2026,54,"API"
32164,1,2026,49,"API"
32165,1,2026,43,"API"
32166,1,2026,38,"API"
32170,1,2026,34,"API"
32171,1,2026,27,"API"
32172,1,2026,20,"API"
32200,1,2026,41,"API"
32201,1,2026,37,"API"
32202,1,2026,26,"API"
32203,1,2026,14,"API"
32212,1,2026,55,"API"
32213,1,2026,46,"API"
32214,1,2026,35,"API"
32302,1,2026,54,"API"
32303,1,2026,117,"API"
32304,1,2026,100,"API"
32305,1,2026,48,"API"
32306,1,2026,99,"API"
32307,1,2026,215,"API"
32308,1,2026,187,"API"
32309,1,2026,102,"API"
32310,1,2026,68,"API"
32311,1,2026,163,"API"
32312,1,2026,134,"API"
32313,1,2026,60,"API"
32314,1,2026,74,"API"
32315,1,2026,163,"API"
32316,1,2026,141,"API"
32317,1,2026,70,"API"
32318,1,2026,103,"API"
32319,1,2026,227,"API"
32320,1,2026,194,"API"
32321,1,2026,98,"API"
32344,1,2026,27,"API"
32345,1,2026,46,"API"
32346,1,2026,41,"API"
32347,1,2026,28,"API"
32353,1,2026,14,"API"
32354,1,2026,26,"API"
32355,1,2026,27,"API"
32356,1,2026,20,"API"
32565,1,2026,130,"API"
32566,1,2026,330,"API"
32567,1,2026,378,"API"
32568,1,2026,295,"API"
32569,1,2026,206,"API"
32575,1,2026,83,"API"
32576,1,2026,225,"API"
32577,1,2026,266,"API"
32578,1,2026,200,"API"
32579,1,2026,139,"API"
32580,1,2026,213,"API"
32581,1,2026,511,"API"
32582,1,2026,649,"API"
32583,1,2026,532,"API"
32584,1,2026,349,"API"
32585,1,2026,58,"API"
32586,1,2026,126,"API"
32587,1,2026,144,"API"
32588,1,2026,112,"API"
32589,1,2026,64,"API"
32595,1,2026,50,"API"
32596,1,2026,123,"API"
32597,1,2026,140,"API"
32598,1,2026,128,"API"
32599,1,2026,91,"API"
32798,1,2026,17,"API"
32799,1,2026,17,"API"
32800,1,2026,10,"API"
32801,1,2026,6,"API"
32802,1,2026,5,"API"
32803,1,2026,22,"API"
32804,1,2026,27,"API"
32805,1,2026,16,"API"
32806,1,2026,16,"API"
32807,1,2026,11,"API"
32808,1,2026,26,"API"
32809,1,2026,15,"API"
32810,1,2026,10,"API"
32812,1,2026,43,"API"
32813,1,2026,25,"API"
32814,1,2026,20,"API"
32893,1,2026,19,"API"
32894,1,2026,38,"API"
32895,1,2026,32,"API"
32896,1,2026,16,"API"
32897,1,2026,24,"API"
32898,1,2026,41,"API"
32899,1,2026,39,"API"
32900,1,2026,20,"API"
32901,1,2026,109,"API"
32902,1,2026,202,"API"
32903,1,2026,183,"API"
32904,1,2026,105,"API"
32905,1,2026,87,"API"
32906,1,2026,161,"API"
32907,1,2026,148,"API"
32908,1,2026,83,"API"
32918,1,2026,16,"API"
32919,1,2026,14,"API"
32920,1,2026,11,"API"
32921,1,2026,11,"API"
32922,1,2026,10,"API"
32923,1,2026,10,"API"
32924,1,2026,7,"API"
32925,1,2026,8,"API"
32952,1,2026,45,"API"
32953,1,2026,37,"API"
32954,1,2026,31,"API"
33102,1,2026,17,"API"
33103,1,2026,38,"API"
33104,1,2026,30,"API"
33105,1,2026,20,"API"
33114,1,2026,23,"API"
33115,1,2026,33,"API"
33116,1,2026,28,"API"
33117,1,2026,23,"API"
33156,1,2026,20,"API"
33157,1,2026,43,"API"
33158,1,2026,31,"API"
33159,1,2026,16,"API"
33215,1,2026,20,"API"
33216,1,2026,80,"API"
33217,1,2026,76,"API"
33218,1,2026,65,"API"
33227,1,2026,33,"API"
33228,1,2026,43,"API"
33229,1,2026,35,"API"
33230,1,2026,18,"API"
33534,1,2026,32,"API"
33535,1,2026,22,"API"
33538,1,2026,64,"API"
33539,1,2026,45,"API"
33574,1,2026,37,"API"
33575,1,2026,34,"API"
33576,1,2026,25,"API"
33577,1,2026,67,"API"
33578,1,2026,66,"API"
33579,1,2026,49,"API"
33628,1,2026,44,"API"
33629,1,2026,50,"API"
33630,1,2026,56,"API"
33631,1,2026,37,"API"
33632,1,2026,77,"API"
33633,1,2026,90,"API"
33634,1,2026,99,"API"
33635,1,2026,64,"API"
33719,1,2026,58,"API"
33720,1,2026,32,"API"
33724,1,2026,11,"API"
33725,1,2026,25,"API"
33726,1,2026,24,"API"
33727,1,2026,11,"API"
33728,1,2026,11,"API"
33729,1,2026,28,"API"
33730,1,2026,23,"API"
33731,1,2026,12,"API"
33740,1,2026,83,"API"
33741,1,2026,138,"API"
33742,1,2026,125,"API"
33743,1,2026,66,"API"
33930,1,2026,10,"API"
33931,1,2026,21,"API"
33932,1,2026,11,"API"
33933,1,2026,8,"API"
33934,1,2026,10,"API"
33935,1,2026,24,"API"
33936,1,2026,29,"API"
33937,1,2026,19,"API"
34023,1,2026,7,"API"
34024,1,2026,20,"API"
34025,1,2026,23,"API"
34026,1,2026,17,"API"
34027,1,2026,12,"API"
34028,1,2026,26,"API"
34029,1,2026,34,"API"
34030,1,2026,26,"API"
34031,1,2026,42,"API"
34034,1,2026,28,"API"
34036,1,2026,26,"API"
34037,1,2026,30,"API"
34038,1,2026,28,"API"
34039,1,2026,13,"API"
34040,1,2026,15,"API"
34041,1,2026,25,"API"
34042,1,2026,23,"API"
34043,1,2026,16,"API"
34044,1,2026,15,"API"
34045,1,2026,23,"API"
34046,1,2026,17,"API"
34047,1,2026,11,"API"
34074,1,2026,21,"API"
34075,1,2026,36,"API"
34076,1,2026,32,"API"
34077,1,2026,15,"API"
34078,1,2026,26,"API"
34079,1,2026,37,"API"
34080,1,2026,33,"API"
34081,1,2026,21,"API"
34082,1,2026,15,"API"
34083,1,2026,21,"API"
34084,1,2026,20,"API"
34085,1,2026,14,"API"
34124,1,2026,20,"API"
34125,1,2026,29,"API"
34126,1,2026,28,"API"
34127,1,2026,18,"API"
34128,1,2026,9,"API"
34129,1,2026,17,"API"
34130,1,2026,16,"API"
34131,1,2026,10,"API"
34132,1,2026,5,"API"
34133,1,2026,15,"API"
