"idproduto";"referencia";"produto";"cor";"tamanho";"continuidade"
"34829";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"PRETO";"M";"PERMANENTE"
"34828";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"PRETO";"P";"PERMANENTE"
"34815";"501742";"CALCINHA STRING RENDADA KISS ME";"BRANCO";"G";"PERMANENTE"
"34814";"501742";"CALCINHA STRING RENDADA KISS ME";"BRANCO";"M";"PERMANENTE"
"34813";"501742";"CALCINHA STRING RENDADA KISS ME";"BRANCO";"P";"PERMANENTE"
"34818";"501742";"CALCINHA STRING RENDADA KISS ME";"LOVE";"G";"PERMANENTE"
"34817";"501742";"CALCINHA STRING RENDADA KISS ME";"LOVE";"M";"PERMANENTE"
"34816";"501742";"CALCINHA STRING RENDADA KISS ME";"LOVE";"P";"PERMANENTE"
"34821";"501742";"CALCINHA STRING RENDADA KISS ME";"NUDE";"G";"PERMANENTE"
"34820";"501742";"CALCINHA STRING RENDADA KISS ME";"NUDE";"M";"PERMANENTE"
"34819";"501742";"CALCINHA STRING RENDADA KISS ME";"NUDE";"P";"PERMANENTE"
"34812";"501742";"CALCINHA STRING RENDADA KISS ME";"PRETO";"G";"PERMANENTE"
"34811";"501742";"CALCINHA STRING RENDADA KISS ME";"PRETO";"M";"PERMANENTE"
"34810";"501742";"CALCINHA STRING RENDADA KISS ME";"PRETO";"P";"PERMANENTE"
"35021";"501745";"CALCINHA FIO DENTAL COS EM RENDA KISS ME";"BRANCO";"G";"PERMANENTE"
"35020";"501745";"CALCINHA FIO DENTAL COS EM RENDA KISS ME";"BRANCO";"M";"PERMANENTE"
"35019";"501745";"CALCINHA FIO DENTAL COS EM RENDA KISS ME";"BRANCO";"P";"PERMANENTE"
"35027";"501745";"CALCINHA FIO DENTAL COS EM RENDA KISS ME";"LOVE";"G";"PERMANENTE"
"35026";"501745";"CALCINHA FIO DENTAL COS EM RENDA KISS ME";"LOVE";"M";"PERMANENTE"
"35025";"501745";"CALCINHA FIO DENTAL COS EM RENDA KISS ME";"LOVE";"P";"PERMANENTE"
"35030";"501745";"CALCINHA FIO DENTAL COS EM RENDA KISS ME";"NUDE";"G";"PERMANENTE"
"35029";"501745";"CALCINHA FIO DENTAL COS EM RENDA KISS ME";"NUDE";"M";"PERMANENTE"
"35028";"501745";"CALCINHA FIO DENTAL COS EM RENDA KISS ME";"NUDE";"P";"PERMANENTE"
"35024";"501745";"CALCINHA FIO DENTAL COS EM RENDA KISS ME";"PRETO";"G";"PERMANENTE"
"35023";"501745";"CALCINHA FIO DENTAL COS EM RENDA KISS ME";"PRETO";"M";"PERMANENTE"
"35022";"501745";"CALCINHA FIO DENTAL COS EM RENDA KISS ME";"PRETO";"P";"PERMANENTE"
"35840";"601172";"CALCINHA BIQUINI IDEAL RENDA";"CALLAS";"G";"PERMANENTE"
